pipeline,migration type,star_cdp_one_sol,star_cdp_rand_sol,star_cdp_sc,paup_one_sol,paup_sc,startle_nni,Cassiopeia-Hybird
1a,Kidney-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,0
1a,Kidney-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,1,0
1a,Primary-tumor-1->Kidney-metastasis-1,2,1,2,2,2,1,2
1a,Primary-tumor-1->Lymph-tissue-metastasis-1,24,30,38,34,38,19,38
1a,Lymph-tissue-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,0
1a,Lymph-tissue-metastasis-1->Primary-tumor-1,7,3,0,0,0,7,0
1a,reseeding,7,3,0,0,0,7,0
1a,migration,33,34,40,36,40,28,40
1b,Kidney-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,
1b,Kidney-metastasis-1->Lymph-tissue-metastasis-1,0,0,1,0,0,0,
1b,Primary-tumor-1->Kidney-metastasis-1,2,1,1,2,1,1,
1b,Primary-tumor-1->Lymph-tissue-metastasis-1,29,32,12,16,19,28,
1b,Lymph-tissue-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,
1b,Lymph-tissue-metastasis-1->Primary-tumor-1,3,0,6,2,1,1,
1b,reseeding,3,0,6,2,1,1,
1b,migration,34,33,20,20,21,30,
1c,Kidney-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,
1c,Kidney-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
1c,Primary-tumor-1->Kidney-metastasis-1,1,1,2,1,1,1,
1c,Primary-tumor-1->Lymph-tissue-metastasis-1,27,33,21,15,19,26,
1c,Lymph-tissue-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,
1c,Lymph-tissue-metastasis-1->Primary-tumor-1,7,1,0,3,4,1,
1c,reseeding,7,1,0,3,4,1,
1c,migration,35,35,23,19,24,28,
2a,Kidney-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,0
2a,Kidney-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,0
2a,Primary-tumor-1->Kidney-metastasis-1,2,1,2,2,2,2,2
2a,Primary-tumor-1->Lymph-tissue-metastasis-1,22,22,31,33,33,24,33
2a,Lymph-tissue-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,0
2a,Lymph-tissue-metastasis-1->Primary-tumor-1,3,2,1,1,1,5,1
2a,reseeding,3,2,1,1,1,5,1
2a,migration,27,25,34,36,36,31,36
2b,Kidney-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,
2b,Kidney-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
2b,Primary-tumor-1->Kidney-metastasis-1,2,2,1,1,1,1,
2b,Primary-tumor-1->Lymph-tissue-metastasis-1,21,23,27,23,23,24,
2b,Lymph-tissue-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,
2b,Lymph-tissue-metastasis-1->Primary-tumor-1,2,3,2,6,5,2,
2b,reseeding,2,3,2,6,5,2,
2b,migration,25,28,30,30,29,27,
2c,Kidney-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,
2c,Kidney-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
2c,Primary-tumor-1->Kidney-metastasis-1,2,2,2,1,2,2,
2c,Primary-tumor-1->Lymph-tissue-metastasis-1,25,21,19,25,27,24,
2c,Lymph-tissue-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,
2c,Lymph-tissue-metastasis-1->Primary-tumor-1,2,2,5,2,4,5,
2c,reseeding,2,2,5,2,4,5,
2c,migration,29,25,26,28,33,31,
